mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""12.2776""/><font face=""Plantin MT Std""/><b>Allegro  moderato con moto</b>"		
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0				0	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2					
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	3				1	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	4					
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	5					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	6					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	7					
1	1	0	0	0.0	0	0	Dynamic	4/4	2	1	0				f				
1	1	0	0	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	8					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	9					
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	10					
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	11				2	
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	12					
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	13				3	
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	14					
2	2	4	4	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	15					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	16					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	17					
2	2	4	4	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	18					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19					
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	20					
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21					
3	3	8	8	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	22					
